rank,slug,name,input_usd_per_token,output_usd_per_token,input_usd_per_1m_tokens,output_usd_per_1m_tokens,input_basis,output_basis,pricing_note,output_modalities
51,openai/text-embedding-3-small,OpenAI: Text Embedding 3 Small,0.00000002,0,0.02,0,pricing.prompt,pricing.completion,base,embeddings
52,qwen/qwen3.5-plus-02-15,Qwen: Qwen3.5 Plus 2026-02-15,0.0000005,0.000003,0.5,3,variable_pricings[0].prompt,variable_pricings[0].completions,highest-tier,text
53,openai/gpt-5.1,OpenAI: GPT-5.1,0.00000125,0.00001,1.25,10,pricing.prompt,pricing.completion,base,text
54,google/gemini-3.1-pro-preview-customtools,Google: Gemini 3.1 Pro Preview Custom Tools,0.000004,0.000018,4,18,pricing.line_items[1].input_tokens_above_threshold,pricing.line_items[2].output_tokens_above_threshold,highest-tier,text
55,meta-llama/llama-3.3-70b-instruct,Meta: Llama 3.3 70B Instruct,0.0000001,0.00000032,0.1,0.32,pricing.prompt,pricing.completion,base,text
56,nvidia/nemotron-3-nano-30b-a3b,NVIDIA: Nemotron 3 Nano 30B A3B (free),0,0,0,0,pricing.prompt,pricing.completion,base,text
57,z-ai/glm-4.7-flash,Z.ai: GLM 4.7 Flash,0.00000006,0.0000004,0.06,0.4,pricing.prompt,pricing.completion,base,text
58,minimax/minimax-m2.1,MiniMax: MiniMax M2.1,0.00000027,0.00000095,0.27,0.95,pricing.prompt,pricing.completion,base,text
59,mistralai/mistral-small-3.2-24b-instruct,Mistral: Mistral Small 3.2 24B,0.00000006,0.00000018,0.06,0.18,pricing.prompt,pricing.completion,base,text
60,google/gemma-3-27b-it,Google: Gemma 3 27B,0.00000003,0.00000011,0.03,0.11,pricing.prompt,pricing.completion,base,text
61,google/gemini-2.0-flash-lite-001,Google: Gemini 2.0 Flash Lite,0.000000075,0.0000003,0.075,0.3,pricing.prompt,pricing.completion,base,text
62,meta-llama/llama-4-maverick,Meta: Llama 4 Maverick,0.00000015,0.0000006,0.15,0.6,pricing.prompt,pricing.completion,base,text
63,openai/gpt-4.1-nano,OpenAI: GPT-4.1 Nano,0.0000001,0.0000004,0.1,0.4,pricing.prompt,pricing.completion,base,text
64,qwen/qwen3-vl-235b-a22b-thinking,Qwen: Qwen3 VL 235B A22B Thinking,0,0,0,0,pricing.prompt,pricing.completion,base,text
65,moonshotai/kimi-k2-0905,MoonshotAI: Kimi K2 0905,0.0000004,0.000002,0.4,2,pricing.prompt,pricing.completion,base,text
66,openai/gpt-5,OpenAI: GPT-5,0.00000125,0.00001,1.25,10,pricing.prompt,pricing.completion,base,text
67,deepseek/deepseek-v3.2-exp,DeepSeek: DeepSeek V3.2 Exp,0.00000027,0.00000041,0.27,0.41,pricing.prompt,pricing.completion,base,text
68,stepfun/step-3.5-flash,StepFun: Step 3.5 Flash,0.0000001,0.0000003,0.1,0.3,pricing.prompt,pricing.completion,base,text
69,z-ai/glm-4.5-air,Z.ai: GLM 4.5 Air,0.00000013,0.00000085,0.13,0.85,pricing.prompt,pricing.completion,base,text
70,qwen/qwen3-coder,Qwen: Qwen3 Coder 480B A35B,0.00000022,0.000001,0.22,1,pricing.prompt,pricing.completion,base,text
71,anthropic/claude-3.5-haiku,Anthropic: Claude 3.5 Haiku,0.0000008,0.000004,0.8,4,pricing.prompt,pricing.completion,base,text
72,deepseek/deepseek-chat,DeepSeek: DeepSeek V3,0.00000032,0.00000089,0.32,0.89,pricing.prompt,pricing.completion,base,text
73,deepseek/deepseek-v3.1-terminus,DeepSeek: DeepSeek V3.1 Terminus,0.00000021,0.00000079,0.21,0.79,pricing.prompt,pricing.completion,base,text
74,qwen/qwen3-vl-8b-instruct,Qwen: Qwen3 VL 8B Instruct,0.00000008,0.0000005,0.08,0.5,pricing.prompt,pricing.completion,base,text
75,meta-llama/llama-4-scout,Meta: Llama 4 Scout,0.00000008,0.0000003,0.08,0.3,pricing.prompt,pricing.completion,base,text
76,openai/gpt-4o-mini-2024-07-18,OpenAI: GPT-4o-mini (2024-07-18),0.00000015,0.0000006,0.15,0.6,pricing.prompt,pricing.completion,base,text
77,qwen/qwen3-235b-a22b-thinking-2507,Qwen: Qwen3 235B A22B Thinking 2507,0.00000011,0.0000006,0.11,0.6,pricing.prompt,pricing.completion,base,text
78,anthropic/claude-3.7-sonnet,Anthropic: Claude 3.7 Sonnet,0.000003,0.000015,3,15,pricing.prompt,pricing.completion,base,text
79,anthropic/claude-3.5-sonnet,Anthropic: Claude 3.5 Sonnet,0.000006,0.00003,6,30,pricing.prompt,pricing.completion,base,text
80,openai/gpt-4o,OpenAI: GPT-4o,0.0000025,0.00001,2.5,10,pricing.prompt,pricing.completion,base,text
81,x-ai/grok-code-fast-1,xAI: Grok Code Fast 1,0.0000002,0.0000015,0.2,1.5,pricing.prompt,pricing.completion,base,text
82,openai/gpt-5-chat,OpenAI: GPT-5 Chat,0.00000125,0.00001,1.25,10,pricing.prompt,pricing.completion,base,text
83,deepseek/deepseek-r1-0528,DeepSeek: R1 0528,0.00000045,0.00000215,0.45,2.15,pricing.prompt,pricing.completion,base,text
84,z-ai/glm-4.6,Z.ai: GLM 4.6,0.00000039,0.0000019,0.39,1.9,pricing.prompt,pricing.completion,base,text
85,qwen/qwen3-30b-a3b-instruct-2507,Qwen: Qwen3 30B A3B Instruct 2507,0.00000009,0.0000003,0.09,0.3,pricing.prompt,pricing.completion,base,text
86,qwen/qwen3.5-122b-a10b,Qwen: Qwen3.5-122B-A10B,0.0000004,0.0000032,0.4,3.2,pricing_json.alibaba:prompt_tokens,pricing_json.alibaba:completion_tokens,highest-tier,text
87,mistralai/mistral-small-creative,Mistral: Mistral Small Creative,0.0000001,0.0000003,0.1,0.3,pricing.prompt,pricing.completion,base,text
88,meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,0.0000004,0.0000004,0.4,0.4,pricing.prompt,pricing.completion,base,text
89,google/gemma-3-12b-it,Google: Gemma 3 12B,0.00000004,0.00000013,0.04,0.13,pricing.prompt,pricing.completion,base,text
90,openai/gpt-5.2-chat,OpenAI: GPT-5.2 Chat,0.00000175,0.000014,1.75,14,pricing.prompt,pricing.completion,base,text
91,arcee-ai/trinity-mini,Arcee AI: Trinity Mini (free),0,0,0,0,pricing.prompt,pricing.completion,base,text
92,qwen/qwen3-next-80b-a3b-instruct,Qwen: Qwen3 Next 80B A3B Instruct,0.00000009,0.0000011,0.09,1.1,pricing.prompt,pricing.completion,base,text
93,moonshotai/kimi-k2-thinking,MoonshotAI: Kimi K2 Thinking,0.00000047,0.000002,0.47,2,pricing.prompt,pricing.completion,base,text
94,openai/text-embedding-3-large,OpenAI: Text Embedding 3 Large,0.00000013,0,0.13,0,pricing.prompt,pricing.completion,base,embeddings
95,mistralai/ministral-14b-2512,Mistral: Ministral 3 14B 2512,0.0000002,0.0000002,0.2,0.2,pricing.prompt,pricing.completion,base,text
96,openai/gpt-oss-safeguard-20b,OpenAI: gpt-oss-safeguard-20b,0.000000075,0.0000003,0.075,0.3,pricing.prompt,pricing.completion,base,text
97,moonshotai/kimi-k2,MoonshotAI: Kimi K2 0711,0.00000055,0.0000022,0.55,2.2,pricing.prompt,pricing.completion,base,text
98,nvidia/nemotron-3-nano-30b-a3b,NVIDIA: Nemotron 3 Nano 30B A3B,0.00000005,0.0000002,0.05,0.2,pricing.prompt,pricing.completion,base,text
99,openai/gpt-5.3-chat,OpenAI: GPT-5.3 Chat,0.00000175,0.000014,1.75,14,pricing.prompt,pricing.completion,base,text
100,mistralai/mistral-small-24b-instruct-2501,Mistral: Mistral Small 3,0.00000005,0.00000008,0.05,0.08,pricing.prompt,pricing.completion,base,text
